"Yeast1";"Freq"
"911";"uspi_390";1
"912";"uspi_395";1
"913";"uspi_41";1
"914";"uspi_42";1
"915";"uspi_428";1
"916";"uspi_430";1
"917";"uspi_435";1
"918";"uspi_438";1
"919";"uspi_443";1
"920";"uspi_444";1
"921";"uspi_446";1
"922";"uspi_447";1
"923";"uspi_450";1
"924";"uspi_451";1
"925";"uspi_452";1
"926";"uspi_454";1
"927";"uspi_456";1
"928";"uspi_457";1
"929";"uspi_458";1
"930";"uspi_460";1
"931";"uspi_461";1
"932";"uspi_462";1
"933";"uspi_465";1
"934";"uspi_466";1
"935";"uspi_473";1
"936";"uspi_475";1
"937";"uspi_48";1
"938";"uspi_487";1
"939";"uspi_491";1
"940";"uspi_493";1
"941";"uspi_494";1
"942";"uspi_495";1
"943";"uspi_497";1
"944";"uspi_498";1
"945";"uspi_5";1
"946";"uspi_50";1
"947";"uspi_500";1
"948";"uspi_502";1
"949";"uspi_503";1
"950";"uspi_504";1
"951";"uspi_509";1
"952";"uspi_51";1
"953";"uspi_510";1
"954";"uspi_511";1
"955";"uspi_513";1
"956";"uspi_516";1
"957";"uspi_518";1
"958";"uspi_520";1
"959";"uspi_521";1
"960";"uspi_525";1
"961";"uspi_526";1
"962";"uspi_527";1
"963";"uspi_528";1
"964";"uspi_54";1
"965";"uspi_55";1
"966";"uspi_550";1
"967";"uspi_551";1
"968";"uspi_553";1
"969";"uspi_554";1
"970";"uspi_556";1
"971";"uspi_557";1
"972";"uspi_559";1
"973";"uspi_561";1
"974";"uspi_562";1
"975";"uspi_563";1
"976";"uspi_567";1
"977";"uspi_570";1
"978";"uspi_571";1
"979";"uspi_575";1
"980";"uspi_576";1
"981";"uspi_580";1
"982";"uspi_581";1
"983";"uspi_582";1
"984";"uspi_583";1
"985";"uspi_586";1
"986";"uspi_587";1
"987";"uspi_590";1
"988";"uspi_591";1
"989";"uspi_592";1
"990";"uspi_593";1
"991";"uspi_607";1
"992";"uspi_608";1
"993";"uspi_611";1
"994";"uspi_612";1
"995";"uspi_613";1
"996";"uspi_614";1
"997";"uspi_644";1
"998";"uspi_646";1
"999";"uspi_663";1
"1000";"uspi_664";1
"1001";"uspi_67";1
"1002";"uspi_700";1
"1003";"uspi_701";1
"1004";"uspi_706";1
"1005";"uspi_707";1
"1006";"uspi_715";1
"1007";"uspi_716";1
"1008";"uspi_728";1
"1009";"uspi_732";1
"1010";"uspi_738";1
"1011";"uspi_760";1
"1012";"uspi_771";1
"1013";"uspi_774";1
"1014";"uspi_775";1
"1015";"uspi_779";1
"1016";"uspi_78";1
"1017";"uspi_780";1
"1018";"uspi_781";1
"1019";"uspi_782";1
"1020";"uspi_788";1
"1021";"uspi_789";1
"1022";"uspi_802";1
"1023";"uspi_803";1
"1024";"uspi_804";1
"1025";"uspi_813";1
"1026";"uspi_841";1
"1027";"uspi_869";1
"1028";"uspi_876";1
"1029";"uspi_877";1
"1030";"uspi_878";1
"1031";"uspi_896";1
"1032";"uspi_917";1
"1033";"uspi_918";1
"1034";"uspi_938";1
"1035";"uspi_943";1
"1036";"uspi_947";1
"1037";"uspi_952";1
"1038";"uspi_956";1
